ID,Age,CustomerSince,HighestSpend,ZipCode,HiddenScore,MonthlyAverageSpend,Level
124,37,13,84,92130,1,3.6,2
125,39,15,78,92121,4,2.4,1
126,60,35,80,91301,3,0.5,1
127,31,5,115,92096,2,1.3,1
128,34,8,82,92646,1,2.7,2
129,38,14,74,92182,2,0,1
130,41,16,70,92131,3,0.5,3
131,28,4,81,94801,3,1.5,1
132,58,34,149,93720,4,7.2,2
133,31,1,51,90840,2,1.75,3
134,30,4,39,90245,3,1.1,2
135,53,29,98,95035,3,1.8,2
136,58,33,45,93010,4,2.1,1
137,59,32,49,95035,4,2.5,2
138,49,25,128,95054,2,0.4,1
139,59,34,42,94928,3,1.5,1
140,59,35,18,93305,1,1.2,3
141,51,25,31,90245,2,0.4,3
142,35,11,58,95831,3,2,1
143,33,9,48,91770,1,2.1,3
144,25,1,54,94117,4,1.6,1
145,49,23,70,92093,2,1.5,2
146,59,35,124,90007,1,7.4,1
147,46,19,84,94102,1,2.67,2
148,50,25,83,94542,4,3.6,3
149,52,28,163,91423,2,0.4,1
150,48,22,42,93955,3,2.2,2
151,46,22,118,94107,2,7.5,1
152,26,0,132,92834,3,6.5,3
153,57,32,24,93117,1,1.3,1
154,60,36,22,94551,2,1,1
155,54,29,58,92612,4,1.3,3
156,24,0,60,94596,4,1.6,1
157,26,0,15,92131,4,0.4,1
158,41,17,83,94025,4,2.67,1
159,32,6,79,94720,2,1.5,3
160,61,35,41,94545,4,1.7,2
161,29,0,134,95819,4,6.5,3
162,61,35,80,95053,2,2.8,1
163,38,12,52,90036,1,2,1
164,28,4,70,91125,4,2.6,1
165,53,27,92,95120,2,1.1,1
166,27,1,43,94706,1,1.5,1
167,25,1,21,95827,3,1,2
168,33,9,23,94305,3,0.9,3
169,50,26,13,91320,4,1,1
170,27,1,112,90503,4,2.1,3
171,27,1,138,90250,2,2,1
172,52,28,11,95817,3,0.4,1
173,38,13,171,92717,2,7.8,1
174,58,34,42,90095,4,1.5,1
175,42,17,168,95503,2,7.9,2
176,45,20,85,91711,4,1.1,2
177,52,25,44,93111,3,1,2
178,29,3,65,94132,4,1.8,2
179,53,29,24,95818,4,0.2,1
180,62,37,11,91942,1,0.1,1
181,51,27,38,90401,2,1,3
182,36,12,10,93524,4,0.7,2
183,24,0,135,95133,1,1.5,1
184,29,3,148,92173,3,4.1,1
185,52,26,63,92717,2,1.5,2
186,39,14,115,91320,1,1,3
187,48,23,45,95616,1,0.3,1
188,46,21,159,94305,3,1.9,3
189,64,40,169,91320,2,2.1,1
190,55,29,112,94043,2,1.4,1
191,60,36,93,92521,1,4.3,1
192,51,25,29,90404,1,0.3,3
193,50,23,85,92122,1,2.67,2
194,48,24,21,93118,4,0.6,1
195,53,29,144,92697,2,6.8,1
196,34,10,13,94577,4,1,1
197,48,24,165,93407,1,5,1
198,55,31,9,91345,4,0.7,1
199,27,3,59,94123,4,0,1
200,36,11,158,92152,1,5.1,3
201,32,6,29,91355,1,1.9,3
202,35,9,20,94609,2,1.4,3
203,30,3,68,94306,4,2,2
204,58,34,65,95747,4,2.2,1
205,56,31,61,96150,2,1.9,2
206,38,12,91,95616,4,1.4,2
207,49,25,31,91355,1,1,1
208,34,10,71,94115,4,0.1,2
209,40,16,73,94110,4,2.67,1
210,64,39,172,94707,4,3.1,1
211,51,26,20,92131,2,0,1
212,44,18,55,94720,1,0.2,1
213,46,22,69,91604,2,1.7,1
214,57,33,155,91326,1,7.4,1
215,54,28,94,90291,1,1.9,2
216,38,14,92,95818,2,0,1
217,27,3,125,95521,2,0.6,1
218,39,14,74,94305,3,3,1
219,44,20,72,92807,3,0.3,3
220,56,30,61,94707,1,2.2,3
221,32,6,25,92130,2,0.3,1
222,45,19,83,95051,2,1.7,2
223,26,2,104,94306,3,2.5,1
224,55,25,41,95014,3,1,3
225,52,27,58,94305,4,1.8,3
226,39,13,93,94720,1,1.5,3
227,24,-1,39,94085,2,1.7,2
228,47,23,148,94551,2,7.5,1
229,47,22,53,92677,4,1.9,3
230,48,24,71,93117,2,1.7,1
231,47,22,92,94720,1,2.8,2
232,35,10,61,94304,4,2.1,3
233,46,19,38,94122,3,2.5,2
234,62,37,58,91320,4,1.7,1
235,26,1,80,95616,1,0.8,2
236,38,8,71,94720,4,1.8,3
237,43,18,89,93407,3,0.5,3
238,62,38,83,92521,1,1.8,3
239,57,32,28,95831,3,0.2,1
240,28,3,52,94112,4,1.7,2
241,51,26,70,90089,1,1.2,1
242,48,22,71,91711,1,1.4,3
243,41,16,75,94005,1,3.7,3
244,65,39,170,90095,3,7.9,3
245,41,17,78,94025,4,0.8,1
246,35,11,25,92614,2,1,2
247,38,14,60,94025,2,0.6,3
248,53,29,120,92626,4,2.7,2
249,55,29,99,92121,2,1.4,1
250,26,1,55,90089,3,2.6,3
251,30,6,29,94305,3,1,2
252,54,28,170,92182,2,6.2,2
253,65,40,53,91711,3,2.2,1
254,47,21,138,94583,1,0,1
255,65,41,134,91942,3,3.9,3
256,66,40,42,92103,2,0.7,3
257,26,0,99,92697,4,2.3,3
258,66,41,18,92691,3,0.5,1
259,35,9,24,95747,4,0.3,1
260,56,30,55,94107,1,1.4,1
261,51,27,58,92407,1,0,1
262,42,16,111,93106,2,1.2,3
263,49,23,33,90245,1,0.3,3
264,27,1,74,92121,4,1.8,2
265,45,19,38,90840,2,0.7,1
266,49,23,23,94305,4,0.6,3
267,63,38,61,94720,2,1.5,1
268,47,22,81,90504,1,2.9,1
269,64,39,129,94002,1,2.5,1
270,43,13,33,95039,1,0.75,3
271,60,36,63,94063,4,2.2,1
272,40,14,70,94923,4,1.4,2
273,29,3,45,95023,4,0.2,1
274,41,16,65,90095,3,0.5,3
275,30,5,74,95616,4,2.2,1
276,49,24,50,94706,4,1.8,3
277,30,5,22,90058,4,0.5,3
278,29,2,30,92126,4,1,3
279,50,26,21,91125,4,1,1
280,39,14,155,94577,2,3.9,1
281,33,8,64,92121,4,2.1,3
282,57,31,65,94118,4,2.6,3
283,34,9,71,91711,4,0.7,3
284,61,36,40,90029,3,0.5,2
285,44,19,69,92806,3,0.5,3
286,40,13,69,94305,3,2.33,2
287,51,25,45,94806,3,0.6,2
288,37,12,62,92110,3,0.7,2
289,44,19,172,94306,2,4.3,3
290,42,15,24,92121,3,1,2
291,51,25,80,92373,1,4.9,1
292,43,16,8,90089,3,0.67,2
293,30,5,38,94542,4,0.8,1
294,45,19,93,90095,4,2.6,3
295,35,9,55,94536,1,2,1
296,60,34,64,94304,2,1.7,3
297,34,9,122,90623,1,0,1
298,55,25,70,93720,3,1.4,3
299,43,19,81,92069,2,3.2,1
300,41,15,159,90057,1,5.5,3
301,34,9,70,92843,4,1.3,1
302,65,39,150,92120,2,6.9,1
303,45,21,152,94550,2,7.5,1
304,49,25,195,95605,4,3,1
305,48,23,22,90740,1,0.1,1
306,60,35,22,91207,1,1.3,1
307,55,29,79,92373,3,0.8,1
308,42,18,33,90401,1,1.4,3
309,32,8,128,94720,2,4.33,1
310,62,38,91,95929,1,3.8,1
311,57,32,39,90277,4,0.9,1
312,52,26,121,94550,1,7.3,1
313,36,6,21,91741,1,0.67,3
314,34,9,41,93720,3,2.3,1
315,63,37,45,93437,2,0.7,3
316,24,-2,51,90630,3,0.3,3
317,57,31,165,95054,1,1.6,2
318,40,16,119,91335,2,4.2,2
319,27,2,110,95670,4,1.8,3
320,65,39,20,90034,3,0.7,2
321,60,34,64,90266,1,0.8,2
322,44,20,101,92717,3,4.4,2
323,63,39,101,92007,1,3.9,1
324,59,34,99,90034,1,4.4,1
325,56,30,158,90089,4,6.1,1
326,54,28,89,95039,1,1.9,2
327,52,27,80,95616,1,1.3,3
328,58,32,114,91330,2,2,1
329,60,35,49,94110,3,0.5,2
330,28,4,191,90064,1,6.33,1
331,54,30,78,92374,4,1,2
332,32,6,28,94115,3,1,1
333,59,33,42,95630,1,0.8,2
334,63,38,140,92407,1,2.5,1
335,48,23,45,95053,1,1.3,2
336,56,32,122,95827,2,0.3,1
337,36,12,65,95051,3,2.6,2
338,57,27,68,94117,1,1.4,3
339,29,3,153,93657,2,2,1
340,39,13,89,92110,4,1.4,2
341,59,34,91,93524,1,2.6,1
342,31,6,55,92038,4,2,2
343,43,19,118,91304,2,3.3,1
344,35,5,22,93407,1,0.67,3
345,54,24,63,92606,3,1.4,3
346,51,27,12,92192,4,0.5,2
347,44,19,50,90745,3,2.7,2
348,25,0,43,94305,2,1.6,3
349,40,15,173,95060,4,6.6,1
350,26,2,60,93407,2,3,1
351,39,14,113,94301,1,1,3
352,28,4,155,92182,4,5.3,2
353,52,28,91,92692,4,1,2
354,53,29,55,95818,4,1.1,2
355,44,20,173,90277,2,1.4,1
356,43,19,71,92101,3,0.3,3
357,56,30,24,94704,2,0.4,3
358,38,14,42,94610,1,2,2
359,30,6,141,94539,2,4.33,1
360,32,6,32,93106,1,1.9,3
361,35,10,55,94539,4,1.3,1
362,43,19,153,90254,2,7.5,1
363,58,32,113,94590,2,1.4,1
364,25,0,30,92691,2,1.7,2
365,54,24,29,92028,3,1,3
366,57,32,174,90089,1,6.8,2
367,50,24,35,92717,1,0.3,3
368,32,8,98,95054,2,2,2
369,63,37,30,92054,2,1,3
370,31,6,58,95051,2,2.5,1
371,36,12,25,92101,4,1,1
372,58,34,19,92029,4,0.7,1
373,56,30,44,93105,4,0.7,2
374,49,25,20,90291,4,1,1
375,30,5,98,91941,2,3.1,1
376,33,7,90,92346,3,1.6,1
377,45,21,61,94304,3,0.7,1
378,30,5,40,94402,4,2,2
379,47,23,38,94618,2,2.1,3
380,25,0,28,92093,2,1.7,2
381,63,33,34,94305,1,1.5,3
382,55,29,73,95616,2,2.3,3
383,65,41,133,94904,4,2,1
384,44,18,53,94608,1,0.2,1
385,51,25,21,9307,4,0.6,3
386,35,9,40,93943,3,0.9,1
387,30,5,41,95051,4,1.7,2
388,31,5,82,95482,4,1.8,2
389,54,30,100,95814,4,3.4,3
390,45,20,155,90024,1,7,1
391,45,19,45,92521,1,0.2,1
392,58,32,9,94080,3,0.3,3
393,54,29,48,91709,4,1.8,3
394,53,28,18,90095,4,0.1,3
395,33,9,80,91311,4,3.4,1
396,60,35,64,94509,2,2.8,1
397,50,24,29,93023,4,0.1,1
398,26,2,48,90503,3,0.7,2
399,54,30,23,94608,2,0.4,1
400,28,3,84,90024,4,0.2,1
401,36,10,179,94542,3,6.6,1
402,29,2,30,95747,4,1.5,2
403,54,28,93,91604,1,4.9,1
404,55,30,39,92647,2,1.9,2
405,61,36,60,92866,3,0.5,2
406,36,11,133,90245,1,3.8,1
407,45,19,125,92354,1,2.4,1
408,64,40,58,93437,1,1.8,3
409,60,36,89,91745,2,2.8,1
410,49,22,82,90019,1,2.67,2
411,47,23,110,94111,2,3.3,1
412,60,36,54,92182,4,2.3,3
413,45,20,89,93311,4,1.9,3
414,32,7,42,92407,3,2.3,1
415,52,28,41,94309,3,1.9,2
416,35,8,38,93106,4,1,2
417,40,15,85,94304,2,0.4,1
418,53,29,83,90073,4,1,2
419,27,0,33,90089,4,1,3
420,58,33,50,94501,4,2.1,1
421,47,22,58,93105,4,3.6,3
422,28,3,115,92333,4,3.1,2
423,46,20,145,91380,2,6.3,1
424,43,19,161,95616,2,7.5,1
425,56,30,38,92029,1,0.2,1
426,28,3,28,90505,4,0.8,1
427,42,18,75,92182,3,2.33,1
428,32,7,35,92521,3,1.3,1
429,62,38,24,94720,2,1,1
430,37,13,78,94998,4,0.1,2
431,51,26,113,94086,1,1.3,3
432,39,13,75,94305,3,2.1,1
433,43,17,91,91311,1,5.7,1
434,52,28,31,91330,4,0.2,1
435,30,6,45,95819,1,1.8,2
436,52,26,80,94709,3,0.8,1
437,61,35,50,92122,3,1.4,3
438,36,9,31,95825,4,1,2
439,58,32,113,93943,2,3.8,2
440,47,23,29,94304,4,0.6,1
441,64,39,59,92626,2,1.5,1
442,52,27,43,93555,1,1.3,2
443,58,28,122,95136,1,3,3
444,48,24,29,90509,1,1,1
445,64,40,91,93106,2,0,3
446,58,32,65,94590,3,2.2,3
447,47,23,22,93108,1,1,1
448,49,23,71,95134,1,1.4,3
449,31,4,60,94588,4,2,2
450,61,37,60,91706,3,2,3
451,51,25,69,95747,1,0.3,1
452,28,-2,48,94132,2,1.75,3
453,39,13,21,94022,3,0.2,2
454,54,28,53,92109,4,2.8,2
455,50,24,29,94110,3,0.9,3
456,30,4,60,91107,4,2.2,2
457,64,39,42,92068,3,0.5,2
458,29,3,69,94303,3,0.3,3
459,48,24,20,95841,1,1,1
460,35,10,200,91107,2,3,1
461,60,36,141,90277,2,2.1,1
462,55,30,81,92123,2,3.7,1
463,29,4,183,91423,3,8.3,3
464,48,22,149,94928,2,5.5,2
465,43,19,83,94305,4,3.6,3
466,66,42,35,94305,1,1.9,2
467,25,0,13,91342,2,0.9,3
468,45,20,39,90232,1,2.4,1
469,34,10,21,92634,1,0.5,3
470,48,23,10,94609,2,0.7,3
471,32,6,84,91006,4,1.8,2
472,50,24,30,91768,4,0.1,1
473,43,19,31,90007,4,0.3,1
474,64,39,182,93955,1,1.2,2
475,60,34,114,90028,2,6.9,1
476,43,19,152,92008,3,6.1,2
477,60,34,53,92717,1,0.8,2
478,64,39,24,95112,4,0.4,2
479,44,20,150,95060,2,3.3,1
480,60,36,132,92154,2,6,1
481,54,29,68,94998,3,1.6,3
482,33,9,53,94063,1,1.2,1
483,56,32,173,94022,1,4.6,2
484,29,5,30,90095,3,1,2
485,25,1,113,95023,2,0.2,1
486,60,34,15,95014,1,0.8,2
487,55,30,84,92173,2,3.7,1
488,39,13,88,94117,4,1.4,2
489,37,13,43,94122,3,2.8,1
490,53,28,43,91380,2,2.1,3
491,34,10,90,94303,2,2.7,1
492,42,18,34,92115,4,0.3,1
493,60,36,38,94596,4,1.3,1
494,50,24,173,94720,1,1,1
495,41,17,160,92647,2,8,1
496,25,0,44,94545,4,0.6,2
497,50,24,83,94301,2,0.4,3
498,48,22,94,90623,4,2.6,3
499,32,8,43,95023,1,2.1,3
500,50,25,42,93108,3,1.7,2
501,59,33,34,92177,2,0.3,1
502,50,26,39,90640,3,1.9,2
503,44,19,70,92833,1,0.1,2
504,31,5,39,94022,4,1.8,3
505,40,10,44,94720,3,2,3
506,36,12,69,94305,3,3.1,2
507,51,25,44,94608,3,0.9,3
508,64,40,32,91380,3,0.1,3
509,47,22,15,95521,2,0.7,3
510,52,28,118,90503,2,6.8,1
511,51,26,62,95136,1,1.3,2
512,31,5,82,94143,4,2.2,2
513,39,14,54,95035,3,3,1
514,30,6,48,94607,1,2.1,3
515,27,1,74,91730,3,0.3,3
516,41,16,113,92780,1,1,3
517,53,27,81,90009,3,1.7,2
518,54,27,43,92834,3,1,2
519,28,4,34,92677,1,1.8,2
520,34,9,48,95616,1,2.5,3
521,61,37,54,90024,4,1.2,2
522,48,24,75,92518,4,1.4,2
523,36,11,72,91007,1,2.8,1
524,56,31,39,93023,4,0.9,1
525,24,-1,75,93014,4,0.2,1
526,64,38,79,94024,2,2.8,1
527,26,2,205,93106,1,6.33,1
528,33,8,65,90027,2,0.1,1
529,64,39,122,90089,4,0.2,1
530,39,15,82,95207,1,0.8,2
531,54,30,21,91706,2,0.2,1
532,32,6,50,90401,4,2.1,3
533,62,37,39,94305,2,2.8,1
534,27,2,101,92807,1,1.9,1
535,53,28,41,93117,2,0.6,3
536,51,25,132,94143,1,0.3,1
537,25,-1,43,92173,3,2.4,2
538,44,20,131,90717,1,4.9,3
539,31,5,11,94534,1,0.4,2
540,57,32,21,94720,1,0.3,3
541,25,-1,109,94010,4,2.3,3
542,30,6,141,95014,2,4.33,1
543,40,14,81,94709,3,0.1,1
544,63,38,54,94704,3,2.4,1
545,35,10,164,91614,2,7.8,1
546,43,19,28,94303,4,0.3,1
547,27,2,68,94025,3,2.6,3
548,44,14,44,94132,3,2,3
549,49,23,61,94117,1,1.4,3
550,61,36,35,94110,3,1.3,2
551,60,34,54,94301,3,0.3,2
552,59,34,14,93118,1,0.1,1
553,28,3,52,90024,4,2.2,1
554,52,28,101,91330,2,0.3,1
555,28,2,149,94720,2,7.2,1
556,34,8,35,92037,4,0.8,1
557,60,34,21,93105,3,0.3,3
558,39,15,118,95039,2,1.9,1
559,30,5,38,95064,4,2,2
560,49,25,24,95818,4,0.2,1
561,43,18,59,93943,1,3.7,3
562,63,33,41,94234,4,1.67,3
563,28,3,85,94035,1,0.8,2
564,51,27,12,94608,4,1,1
565,33,7,32,94904,1,0.6,3
566,55,29,79,90210,3,0.8,1
567,53,28,175,95060,3,3.6,3
568,34,8,28,95112,3,0.9,1
569,34,9,41,92101,2,0.1,1
570,40,14,70,95136,3,2.1,1
571,49,25,161,94928,3,6.5,2
572,35,9,53,94143,4,2.2,2
573,39,15,128,92333,1,3.4,1
574,55,28,50,95020,3,1,2
575,29,5,80,94709,2,2,2
576,54,30,93,91107,1,2.7,2
577,25,-1,48,92870,3,0.3,3
578,52,28,149,94043,2,6.8,1
579,46,19,49,92124,3,2.5,2
580,57,33,88,93524,1,2.7,2
581,52,22,22,90049,4,0.4,3
582,28,3,55,94521,4,2.2,1
583,44,18,72,95678,1,0.7,3
584,24,-1,38,95045,2,1.7,2
585,40,16,114,91604,1,3.4,1
586,34,4,83,92653,4,4,3
587,39,14,101,94305,2,0.4,1
588,50,24,94,93305,1,4.9,1
589,41,17,40,93117,2,2.5,1
590,31,7,128,92821,1,6,1
591,29,3,39,94612,4,2.1,3
592,30,5,51,92037,1,1,1
593,44,20,79,95051,4,2,3
594,33,7,48,90025,4,2.2,2
595,50,26,85,94143,1,0,1
596,42,18,41,92121,1,1.8,1
597,48,22,152,94022,1,3.5,3
598,24,-2,125,92835,2,7.2,1
599,56,31,11,92374,2,0.2,3
600,28,4,103,94720,2,2.5,1
601,56,30,141,94143,2,0.5,1
602,58,32,38,91320,1,1.4,1
603,29,5,135,95035,2,0.6,1
604,63,38,28,94720,2,0.5,2
605,28,3,70,90245,4,2.2,1
606,57,31,41,91330,1,0.2,1
607,34,8,81,91741,3,0.9,2
608,28,3,170,95014,1,0.1,3
609,27,2,55,91910,4,1.7,2
610,37,11,24,91770,4,1.5,3
611,52,28,81,94132,3,1.8,2
612,49,23,32,94701,4,1.8,1
613,65,40,129,90095,1,1.3,1
614,60,35,108,94904,1,0.9,1
615,37,12,180,90034,1,8.6,1
616,63,37,139,93943,2,6.9,1
617,40,14,33,94025,2,1.4,3
618,46,20,74,94024,4,2.6,3
619,63,37,42,91320,2,0.7,3
620,57,27,73,93106,1,3,3
621,33,8,115,91129,4,2.9,2
622,41,17,114,91125,2,1.8,2
623,41,17,92,93555,2,1.9,1
624,44,19,34,95616,1,0.3,3
625,33,6,54,92821,2,1.67,2
626,52,28,64,95605,2,1,3
627,30,6,42,94305,1,0.2,3
628,45,19,70,92677,3,2.1,1
629,49,24,51,90071,1,1.3,2
630,45,19,71,91711,4,2.9,1
631,32,7,35,96651,3,1.3,1
632,45,18,40,94960,3,1,2
633,57,32,165,94720,4,2.7,3
634,61,31,18,94583,1,1.5,3
635,57,31,32,90034,3,1.4,1
636,60,35,35,90509,3,0.2,1
637,40,16,120,92037,2,6.1,1
638,53,28,31,90245,4,0.1,3
639,42,16,35,92054,3,1.5,1
640,62,36,32,92646,2,0.2,3
641,43,18,85,94960,1,3.7,3
642,35,10,139,95060,2,7.8,1
643,50,24,103,94132,1,0.3,1
644,45,21,152,91902,2,1.4,1
645,52,27,33,92121,2,2,2
646,35,9,84,95120,4,2.2,2
647,58,33,61,90033,4,1.7,1
648,62,38,64,95064,4,2.2,1
649,50,25,34,95621,1,1.3,2
650,25,-1,82,92677,4,2.1,3
651,47,22,122,90037,1,5.1,3
652,28,4,58,92121,3,1.5,1
653,34,9,92,90005,1,2.8,1
654,49,23,78,92691,2,2.4,2
655,54,29,129,93940,4,4.2,3
656,50,25,13,91109,2,0.7,3
657,37,11,81,94539,1,2.8,3
658,38,8,23,95207,1,0.67,3
659,52,26,35,91711,3,0.9,3
660,63,39,79,93009,4,1.7,2
661,39,14,165,92126,2,3.3,1
662,63,38,52,94720,2,2.8,1
663,65,41,185,93561,3,2,2
664,46,20,49,90503,3,2.2,2
665,54,30,64,95126,1,1.8,3
666,54,24,61,92866,4,2,3
667,52,26,112,92120,1,2.4,1
668,63,39,72,93106,3,2,3
669,66,41,18,94010,3,0.5,1
670,56,29,41,94109,4,2.5,2
671,23,-1,61,92374,4,2.6,1
672,65,41,105,92612,1,3,2
673,51,27,23,96651,1,0.2,1
674,34,10,22,95670,1,0.5,3
675,49,23,59,95827,3,2.1,1
676,29,2,33,91711,1,2,2
677,47,23,11,94063,1,0.9,3
678,46,21,204,92780,2,2.8,1
679,52,27,61,92101,4,1.8,3
680,55,31,103,92093,3,1.8,2
681,61,36,51,94706,3,1.5,1
682,34,9,164,94720,1,6,3
683,58,34,12,90504,1,0.1,2
684,40,16,82,91311,1,3.6,2
685,43,17,164,90266,1,2.4,1
686,35,8,48,93107,2,1.67,2
687,24,-1,38,92612,4,0.6,2
688,48,22,65,92120,2,1.5,2
689,44,20,71,94304,4,1.9,1
690,54,30,18,94591,1,0.3,1
691,59,34,52,94115,2,1.6,3
692,45,18,48,90025,3,2.5,2
693,26,2,30,94720,1,1,3
694,40,15,40,92096,2,2.2,3
695,32,7,112,90740,1,3.8,1
696,29,4,115,92717,1,1.9,1
697,51,27,63,92251,2,1,3
698,42,17,85,92648,1,3.7,3
699,64,38,59,92028,1,2.5,3
700,44,20,68,95060,1,0.8,3
701,37,11,84,90089,2,1.8,1
702,44,19,62,93106,3,0.8,3
703,35,9,109,92709,3,4,1
704,41,17,141,94022,2,7.6,1
705,56,32,129,94065,1,7.4,1
706,62,36,30,94720,3,0.7,2
707,58,34,148,95819,1,4.7,1
708,47,20,25,95064,3,0.67,2
709,35,10,21,92182,3,1.3,1
710,29,4,72,95841,4,2.2,1
711,43,17,59,94085,3,0.9,3
712,62,37,83,91754,3,1.8,2
713,41,16,10,94123,2,0.3,2
714,34,9,84,92009,3,0.6,2
715,50,23,98,92068,3,2,2
716,47,23,32,92130,1,1,1
717,29,5,31,96064,4,0.4,2
718,59,34,94,93940,3,0.5,1
719,56,31,21,90024,2,0.2,3
720,61,35,110,92521,3,4.4,1
721,58,32,38,94025,1,2.2,3
722,49,24,39,92717,1,1.4,3
723,45,21,132,91103,3,1.2,2
724,50,24,61,94301,4,2.6,1
725,64,38,92,94086,1,2,1
726,39,15,119,92037,2,6.1,1
727,58,33,53,91030,4,2.1,1
728,62,37,18,92037,3,1.3,2
729,45,20,114,94720,2,4.4,2
730,58,28,90,93106,1,3,3
731,43,18,140,95616,1,7,1
732,28,3,90,90066,2,3.3,1
733,26,1,85,90064,1,1.9,1
734,49,24,80,92009,1,1.2,1
735,66,42,53,92182,2,1.1,1
736,33,7,49,95403,4,2.2,2
737,61,35,152,91016,3,3.3,3
738,64,37,138,94709,2,2.8,2
739,36,10,80,94596,4,2.2,2
740,49,23,82,91902,2,2.4,2
741,52,27,195,90266,1,8.1,1
742,61,37,22,94590,1,1.2,3
743,32,6,81,92626,1,2.5,1
